Log File,Avg rpm
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_00_05.ulg,1557.705
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/11_34_49.ulg,1558.1455
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/15_11_21.ulg,1550.4077
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_35_38.ulg,1569.0006
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/07_42_56.ulg,1550.457
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_47_14.ulg,1543.9572
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/08_13_31.ulg,1560.5052
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_47_08.ulg,1198.8032
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_46_17.ulg,1376.2557
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_16_26.ulg,1199.04
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/07_58_28.ulg,1550.0967
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_38_07.ulg,1572.287
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_18_15.ulg,1550.5353
